number,text,label
train-1185,"Casualties mount in the Eastern Ghouta city as the regime continues its assault for the tenth day in a row. More than 120 people have been killed as troops allied to the Syrian regime stepped up attacks on Syrias Eastern Ghouta governorate focusing on the city of Douma around 10km northeast of Damascus. Regime aircraft have dropped more than 1000 bombs on the city in at least 150 airstrikes during the past ten days according to analysts. ""Rescue teams and volunteers continue to search for survivors and bodies under the rubble amid the mass destruction of neighbourhoods"" Osama Said a Douma-based media activist told al-Araby al-Jadeed. At least 400 people - mainly women and children - have been injured during this bombing campaign and 500 residential buildings have been destroyed according to the citys monitoring and documentation office. Retaliation The administration of President Bashar al-Assad said attacks had been ramped up after Zahran Alloush leader of the Army of Islam - a merged collection of rebel opposition groups - declared Damascus a military zone [Ar] and shot hundreds of missiles at the capital. 	 	Rescue teams and volunteers continue to search for survivors and bodies. - Osama Said media activist The latest escalation is also an attempt by regime forces to break into Eastern Ghouta which is controlled by the Army of Islam. Douma-based activists have drawn the worlds attention to their tragedy using the hashtag Doumaexterminated and its Arabic equivalent. Pictures and videos of the city posted using the hashtag have shown dozens of severely injured children receiving treatment at makeshift hospitals as well as injured civilians and dead bodies being pulled from the rubble. ""Pictures from Douma and the high civilian body count show the regime is targeting residential areas not military sites"" said Hisham Marwah the Syrian National Coalitions (SNC) vice-president. The regime has used this policy of collective punishment in many parts of Syria since the uprising began he added. Marwah called on the international community to put pressure on Assads regime to stop the massacres immediately. ""The international alliance should add Assads positions to the locations it is targeting in its attacks on the Islamic State group in Syria"" he added. Other locations targeted by Assads troops this week in Eastern Ghouta include the towns of Misraba Ayn Tarma Arbin and Kafr Batna and the al-Wafideen refugee camp. This article is an edited translation from our Arabic edition. ",0
train-1186,"Free Syrian Army and Nusra Front fighters pushed from town of Deir al-Adas and surrounding areas as rebels claim Iranian-backed Lebanese group wants to set up permanent base. Hizballah fighters backed by Syrian and Iranian forces have pushed the Nusra Front and from the town of Deir al-Adas reports say in a major offensive in the Daraa governorate. The London-based Syrian Observatory for Human Rights said Deir al-Adas was taken on Tuesday after two days of fierce fighting between regime elements and rebels including members of Nusra al-Qaedas affiliate in Syria and fighters from the Free Syrian Army. The offensive is part of the operation launched on Sunday to seize areas at the intersection point of the three Syrian governorates of Rif Dimashq Daraa and Quneitra near the disputed Golan Heights. The observatory group said 20 opposition fighters were killed in the fighting including a Hizballah ambush near Deir al-Adas. The groups director Rami Abdulrahman told the AFP news agency that Hizballah was leading the attack on Deir al-Adas and its surrounding hills. Al-Araby al-Jadeed cannot independently verify the reports. Restoring security The official Syrian news agency Sana quoted a military source on Wednesday as saying the army was able to ""restore security"" to Sanei Tal al-Hawa and Tal-Arous in the southwestern countryside of Damascus Tal Meri west of Damascus and al-Danaji and Tal Antar near Deir al-Adas. The opposition Local Coordination Committee of Deir al-Adas said heavy shelling had forced the Free Syrian Army from the town which was now ""in range of their firepower"". Ayman al-Aasmi a member of the FSA southern front command claimed that Hizballah was trying to set up a permanent base in north Daraa to link its positions in southern Lebanon through the hills of Mount Hermon. ""The issue is not just about retaking some towns and hills"" he said. ""Hizballah pushed large forces into the battle mostly made up of Lebanese and Iraqi militias in light of the regime forces collapse in the Daraa governorate as a result of losses in battles with opposition forces defections or redeployment into the hot spots in other governorates."" This article is an edited translation of the original Arabic.",0
train-1187,"Killing Obama administration rules, dismantling Obamacare and pushing through tax reform are on the early to-do list.",0
train-1188,"NEW YORK - Bernie Sanders is at a crossroads.

The Vermont senator took Wednesday off the campaign trail at home alone with his wife, leaving his top aides behind in Washington to cool their heels.

""He wanted an opportunity to think,"" said Sanders senior strategist Tad Devine. ""It's affording him an opportunity to think about where we are in the campaign, what he wants to say in the weeks ahead. He hasn't had a real chance to do that"" in weeks.

The Sanders campaign poured itself into New York, throwing a hail mary pass to try to change the delegate math while they could. They spent $5.6 million (twice what Hillary Clinton did), made 3 million phone calls in the final weekend alone, and organized the biggest rallies of a campaign defined by big rallies.

But in the end Sanders came up short - not just of winning, but of the delegate target allies had aimed to hit, which might set them up for a path through California, the campaign's final hope.

Now, with the nomination even further out of reach, Sanders faces the difficult question about what comes next. Does he set a do-whatever-it-takes course to actually win the Democratic nomination? Or does he return to the message campaign his long-shot White House bid was originally seen as?

There's no question that Sanders will stay in the race either way. ""Bernie made a decision after Nevada that he was going to go through this process and finish it up by letting everybody who wanted to vote, vote,"" Devine said.

Democratic primary voters have shown no sign they're in a rush for the race to settle down, and seem hungry for Sanders' message, if not his presidency.

He'll continue to draw massive crowds from zealous fans, who have almost literally given his campaign a blank check to do as they wish. On Wednesday night, the campaign announced raising $15 million more than Clinton in March, though they also spent much more.

But even some Sanders allies cringed at parts of the candidate's message in New York, where his agenda was sometimes obscured by a focus on Clinton and issues with the election process.

""Going forward, what we're encouraging Senator Sanders to do is to continue to keep the campaign focused on the issues,"" said Neil Sroka, the communications director of Democracy for America, which backs Sanders.

The campaign says they want to return to more substantive issues - but only as long as the Clinton campaign joins them. So far, at least, they believe Clinton forces are keeping up the heat and see it as sign Clinton still views Sanders as a threat.

Privately, some Sanders allies say it's time for the candidate to start to thinking more about how he maximizes his leverage at the Democratic National Convention, and afterwards, and less about beating Clinton at all costs.

One indicator of which kind of campaign Sanders wants to run is how much he and his aides continue to talk about relying on super delegates to hand them the nomination.

The strategy, which calls for wooing the unelected delegates even if Sanders loses more primaries and caucuses, was floated by campaign manager Jeff Weaver with MSNBC's Steve Kornacki late Tuesday night.

MoveOn.org and Democracy for America, both of which have endorsed Sanders, have since 2008 been pressuring super delegates to support whichever candidate gets the most votes.

More than 380,000 people signed petitions from the group agreeing that ""the race for the Democratic Party nomination should be decided by who gets the most votes, and not who has the most support from party insiders.""

Both groups confirmed to MSNBC Wednesday that they still hold that position.

""MoveOn members overwhelmingly endorsed Sanders for president, and we want him to win the most pledged delegates, become the nominee, and become president. But superdelegates shouldn't overrule the will of the Democratic grassroots,"" said MoveOn Washington Director Ben Wikler. ""If the primary and caucus winner is Hillary Clinton, then Clinton should be the nominee.""

Devine said the campaign's main focus is still to win pledged delegates. But if Sanders falls just short of a majority, it's negligible - ""de minims,"" Devine said - and the campaign will pitch super delegates that Sanders is the stronger general election candidate.

Another indication of Sanders' intentions will be where he devotes his precious time in the days leading up to Tuesday's contests.

Five states are voting and Maryland is expected to be Sanders' worst showing.

If he invests heavily there it's a sign his campaign is still focused on winning and scraping together delegates. If he spends time in states like Connecticut and Delaware to try to eek out wins despite limited delegate opportunities, it's a sign he's more focused on moral victories than ones that lead to the nomination.

What Sanders decides to do, and how aggressively he decides to continuing pursuing Clinton, will help determine the shape of the rest of the primary and how quickly Clinton, the odds-on nominee, can unite the party.

Clinton's favorability rating has tumbled during the primary, especially among Sanders voters, presumably at least in part due to his attacks.

But as Democratic leaders worry about the damage, the party seem to be enjoying the contest.

National polling between Clinton and Sanders has tightened to a virtual dead heat, suggesting voters are not ready to settle on Clinton. Exit polls showed two-thirds of New York primary voters found the heated contest in the state to be energizing, not divisive.

""Mr. Sanders's presence has made this an immeasurably more substantive race,"" The New York Times wrote in an editorial Wednesday calling on Sanders to ignore calls to leave the race, which was shared by the Sanders campaign. The enthusiasm of his supporters ""should be a wake-up call to leaders of both parties. They are missing something big about their own members' priorities, and their mood.""

Still, Sanders' entire campaign has been about bringing new people into politics and the Democratic party. At some point, he might risk pushing them back out again.",0
train-1189,"The FBI has expanded its probe of Hillary Clinton's emails, with agents exploring whether multiple statements violate a federal false statements statute, according to intelligence sources familiar with the ongoing case.

Fox News is told agents are looking at U.S. Code 18, Section 1001, which pertains to ""materially false"" statements given either in writing, orally or through a third party. Violations also include pressuring a third party to conspire in a cover-up. Each felony violation is subject to five years in prison.

This phase represents an expansion of the FBI probe, which is also exploring potential violations of an Espionage Act provision relating to ""gross negligence"" in the handling of national defense information.

""The agents involved are under a lot of pressure and are busting a--,"" an intelligence source, who was not authorized to speak on the record, told Fox News.

The section of the criminal code being explored is known as ""statements or entries generally,"" and can be applied when an individual makes misleading or false statements causing federal agents to expend additional resources and time. In this case, legal experts as well as a former FBI agent said, Section 1001 could apply if Clinton, her aides or attorney were not forthcoming with FBI agents about her emails, classification and whether only non-government records were destroyed. It is not publicly known who may have been interviewed.

Fox News judicial analyst Judge Andrew Napolitano said the same section got Martha Stewart in trouble with the FBI. To be a violation, the statements do not need to be given under oath.

""This is a broad, brush statute that punishes individuals who are not direct and fulsome in their answers,"" former FBI intelligence officer Timothy Gill told Fox News. Gill is not connected to the email investigation, but spent 16 years as part of the bureau's national security branch, and worked the post 9/11 anthrax case where considerable time was spent resolving discrepancies in Bruce Ivins' statements and his unusual work activities at Fort Detrick, Md.

""It is a cover-all. The problem for a defendant is when their statements cause the bureau to expend more time, energy, resources to de-conflict their statements with the evidence,"" he said.

Separately, two U.S. government officials told Fox News that the FBI is doing its own classification review of the Clinton emails, effectively cutting out what has become a grinding process at the State Department. Under Secretary for Management Patrick Kennedy has argued to both Director of National Intelligence James Clapper and Congress that the ""Top Secret"" emails on Clinton's server could have been pulled from unclassified sources including news reports.

""You want to go right to the source,"" Gill said. ""Go to the originating, not the collateral, authority. Investigative protocol would demand that.""

On Friday, Clapper spokesman Brian Hale confirmed that no change has been made to the two ""Top Secrets"" emails after a Politico report said the intelligence community was retreating from the finding.

""ODNI has made no such determination and the review is ongoing,"" Hale said. Andrea G. Williams, spokeswoman for the intelligence community inspector general, said she had the same information. Kennedy is seeking an appeal, but no one can explain what statute or executive order would give Clapper that authority.

A U.S. government official who was not authorized to speak on the record said the FBI is identifying suspect emails, and then going directly to the agencies who originated them and therefore own the intelligence -- and who, under the regulations, have final say on the classification.

As Fox News previously reported, at least four classified Clinton emails had their markings changed to a category that shields the content from Congress and the public, in what State Department whistleblowers believed to be an effort to hide the true extent of classified information on the former secretary of state's server.

One State Department lawyer involved in the alleged re-categorization was Kate Duval. Duval once worked in the same law firm as Clinton's current and long-time lawyer David Kendall and at the IRS during the Lois Lerner email controversy. Duval left government service for private practice in mid-September.

Catherine Herridge is an award-winning Chief Intelligence correspondent for FOX News Channel (FNC) based in Washington, D.C. She covers intelligence, the Justice Department and the Department of Homeland Security. Herridge joined FNC in 1996 as a London-based correspondent.",0
train-1190,"Conservatives dissatisfied with Donald Trump have given the Libertarian presidential nominee a chance to take his third party to center stage, but Gary Johnson has not exactly been a fixture on the campaign trail.

Largely eschewing traditional campaign events, the former New Mexico governor has instead opted to appear almost daily on multiple news programs and appeal to his solid core of online support.

That could soon change as the campaign considers more regular appearances in the real world.

Johnson campaign spokesperson Joe Hunter told CNN Monday the campaign is now undergoing a ""natural evolution,"" having recently ramped up its fundraising efforts with the stated intention of buying advertisements in key states and beginning to hold rallies across the country.

Despite enjoying a brief surge in the lead-up to the major party conventions, Johnson has generally hovered in the high single digits in national polls. The latest CNN Poll of Polls showed Johnson at 9% support nationwide.

In a race where the majority of voters say they are dissatisfied with their mainstream offerings for president, where the Republican nominee has secured little support from the nation's largest generation -- millennials -- and where digital media has taken an unprecedented place in the political landscape, here's what Johnson is -- and isn't -- doing to make his long shot candidacy a viable bet.

Hunter called the constant interviews ""a critical"" component of the campaign, and after taking scheduling into account, ""We take every opportunity we get.""

Similar to Trump, Johnson and his running mate, Bill Weld, have relied on ""earned media"" in the form of appearances in the press.

Unlike Trump, the two almost always stay on message.

Since winning the nomination at the Libertarian Party's convention in May, Johnson and Weld, a former Massachusetts governor, have used their appearances to cast themselves as the centrist candidates between Trump and Hillary Clinton.

They point out their experience as Republican governors in traditionally Democratic-leaning states. Johnson often touts his laissez-faire approach to drugs and immigration, while Weld has pointed to his record on LGBT rights and his cordial relationship with both sides of the aisle, including the Clintons. Both champion their conservative credos on matters of spending.

But the live television appearances, including two prime-time town hall events on CNN, have not yet afforded the Libertarian ticket national recognition or a strong showing in the polls.

On the digital side, the Johnson campaign has largely stuck to its roots by embracing the Libertarian community online. Reaching supporters through social media and email, the campaign has kept its base abreast of its progress -- and appealed for funds.

The Johnson campaign said Tuesday its August ""money bomb"" fundraising campaign surpassed its goal of $1.5 million based off ""entirely digital"" appeals for money. The campaign said it raised $840,000 on Monday alone, totaling $2.9 million in donations in the first two weeks of the month.

A number of groups have fallen into place doing some of the heavy lifting that the long shot bid needs doing.

Among the most standout recent entries into the Johnson orbit is a newly minted group called Republicans for Johnson/Weld. The group formed this month to bring the GOP leaders and voters Trump had alienated into the Libertarian fold.

Republican strategist and group spokesperson Liz Mair told CNN Monday the pro-Johnson forces seeking to convert Republicans from a divisive nominee were in uncharted waters.

""I don't think anybody's tried to launch an effort like this,"" Mair said.

Despite the lack of an established path, Johnson has notched a few victories. Rep. Scott Rigell said he will support Johnson in November, and Reps. Reid Ribble and Mike Coffman have said they are considering it.

In separate interviews, Hunter and Mair both said they had heard supportive words from Republican politicians but that many were not ready to come out into the open against their party.

The outside group could be a key factor in the mainstreaming of Johnson. It already holds several well-known Republican staffers. On Monday, it added Joseph Russo III, a former Sarah Palin aide, Mair said.

Given the nature of the group, Mair said a ""number of us have better connections"" to GOP Capitol Hill figures than the Libertarian campaign.

What will Mitt Romney do?

Within the Johnson campaign, Weld has taken the lead on outreach to Republicans. However, his biggest prize still eludes him: 2012 Republican nominee Mitt Romney.

Romney served as governor of Massachusetts after Weld and has said if Weld were topping the ticket, he would be supporting them, but he still needed to hear what Johnson had to say. Months have passed since then without a Romney endorsement.

The Libertarian efforts to sway Republicans have also had to push back against the notion they are helping Clinton.

Johnson has said he is pulling about evenly from both sides and been forceful in his condemnation of Trump.

Mair said Trump was doing the work of helping Clinton on his own and that Clinton's win was at this point ""overwhelming likely,"" although Johnson still had a chance in an unpredictable cycle.

""The Republicans screwed up. That's not Gary Johnson's fault,"" she said.

Up in the air

Hunter said many people would not come to their side until the Johnson candidacy had reached a ""critical mass,"" which they hope to achieve by ramping up their campaign efforts and their ad spending.

In addition to television ads, the campaign said it was looking at radio, billboards and continuing its online efforts.

As with the major party candidates, outside spending groups have also taken it upon themselves to launch ads in support of Johnson. A Libertarian spending group called Americans Deserve Better PAC has put together a few spots hailing the former governors as the ""adults"" in the race.

Republicans for Johnson/Weld, meanwhile, said its focus is less on traditional advertising than generating viral content. So far, however, one of the group's most viral moments came not from distributed content, but from an appearance on CNN. Ahead of the second Libertarian town hall, Mair told CNN's Anderson Cooper that Trump's message ""is being a loud-mouthed d---, basically.""

All told, this third party effort has so far expounded more resources on general election advertisements than Trump's campaign, which has yet to join in the air wars.

All of these efforts have so far been dwarfed by Clinton and her allied super PACs, which have spent exponentially more than the three other presidential campaigns.

Johnson has not been able to draw the kind of rock star crowd sizes that Trump or Vermont Sen. Bernie Sanders attracted earlier this year.

The former New Mexico governor held one rally in Utah on a Saturday earlier this month and another in Reno, Nevada. After rescheduling, he is set to hold another in Albuquerque, New Mexico, this Saturday.

His campaign said it was still working out specifics on other rallies in the near future but that it planned to host public events soon in Florida and New England.

Meanwhile, fundraising efforts have come largely from the digital side, although the campaign said the governors have appealed directly for funds, with a planned event in Miami on Wednesday.

Their most prominent fundraising event so far came in late July at a Hollywood event hosted by Drew Carey, the Libertarian host of ""The Price is Right.""",0
train-1191,"Several bombers are dead. At least one alleged attacker is still on the loose.

And a key question looms as investigators race to piece together details about the attackers behind Tuesday's deadly bombings in Belgium's capital: Were these men acting alone, or were other members of a terror cell supporting them?

Raids, arrests and forensic analysis are some of the tools investigators are using to get to the bottom of who was behind the attacks in Brussels, which killed 31 people and wounded 270 others.

Two of the bombers were brothers. And one of the bombers at the airport appears to be a man authorities named as a suspect in the Paris terror attacks.

But the investigation is far from finished. With at least one suspect on the run, the stakes are high, Belgian counterterrorism official Paul Van Tigchelt said Wednesday.

""There are still a number of people, possibly involved in the attacks still in our country ... who still pose a threat,"" he said.

Here's a look at the latest developments in the investigation, and the questions they raise.

Belgian federal prosecutor Frederic Van Leeuw identified Ibrahim El Bakraoui as one of two suicide bombers at the Brussels airport and his brother, Khalid El Bakraoui, as the man behind a deadly suicide blast about an hour later on a train near the Maelbeek metro station.

This isn't the first time they've come across authorities' radar.

Ibrahim El Bakraoui was deported by Turkey to the Netherlands last year, a senior Turkish official told CNN. The Turkish presidency's office said authorities there captured him in July 2015 and flagged him to Belgian authorities.

Belgian authorities, the Turkish official said, responded soon after saying he had a criminal record but no known ties to terrorism.

""These two deceased suicide bombers had lengthy criminal records,"" he said, ""but (were) not linked to terrorism.""

Ibrahim El Bakraoui had been sentenced in October 2010 by a Brussels criminal court to nine years behind bars for opening fire on police officers with a Kalashnikov during a robbery, according to Belgian public broadcaster RTBF and CNN affiliate RTL.

Interpol had issued a ""red notice"" for Khalid El Bakraoui, the subway bomber, that noted Belgian authorities wanted him in connection with terrorism. But it wasn't clear when that notice was issued or why Belgian authorities now say he had no ties to terrorism.

Question to consider: If they were already on authorities' radar, how did the brothers manage to slip through the cracks and carry out the deadly attacks?

Surveillance images showing three men pushing luggage carts through the airport have played an important role as authorities work to pinpoint the suspects.

Authorities say bomber Ibrahim El Bakraoui is the man in the middle. Najim Laachraoui, an ISIS bomb-maker, is the man on the left in the picture, a Belgian counterterrorism official told CNN's Paul Cruickshank.

Investigators believe both were killed in the airport blast. But authorities are looking for the third man in the photo, walking on the right and wearing light-colored clothing and a hat.

Belgium's interior minister said that man placed a bomb at the airport and left.

While two explosives went off within 37 seconds of each other shortly before 8 a.m., this third bomb -- described as the ""heaviest"" by Van Leeuw -- did not, instead being detonated by authorities later in a controlled explosion.

Questions to consider: Where did the man in light-colored clothing go? Is anyone helping him hide out from authorities, and could he be plotting another attack?

Two people were arrested in Brussels in connection with the attacks -- one in Schaerbeek and the other in Haren, Van Leeuw said.

One was released later that day, according to the prosecutor.

Another person was detained Wednesday, according to Belgian public broadcaster RTBF.

One raid, officials said, came after a tip from a taxi driver led them to the northeast Brussels area of Schaerbeek.

The driver recognized the men shown in surveillance footage and told authorities he'd driven the men to the airport before the attacks. Police raided the area where the driver told them he'd picked up the men.

On Wednesday, they made another significant find: Ibrahim El Bakraoui's will.

Police found the airport bomber's will on a computer in a trash can in Schaerbeek, Van Leeuw said.

The will indicated Bakraoui ""needs to rush"" and ""no longer feels safe.""

Questions to consider: Who are the people who were arrested, and what was their alleged role in the attacks?

The latest connection: Laachraoui, a suspect in the Paris attacks who authorities now say they believe was one of the Brussels airport bombers.

Investigators believe Abdeslam likely planned to be part of an attack orchestrated by the same ISIS cell that carried out Tuesday's attacks, a senior Belgian counterterrorism official told Cruickshank.

The Brussels attackers likely accelerated their plans when police discovered Abdeslam's hideout, investigators believe.

And one of the apartments where he hid before his capture, located in the southern Brussels district of Forest, allegedly has ties to one of the Bakraoui brothers.

Questions to consider: What role, if any, did Abeslam's arrest play in the Brussels attacks? Are there other links between the Paris and Brussels attacks?

Another piece of evidence authorities found during the Brussels raids could help in their investigation: unused explosives.

In the Schaerbeek residence, authorities found 15 kilograms of the explosive TATP and screws among the bomb-making materials there, Van Leeuw said.

""Such bombs have been a signature of jihadist terrorists in the West for more than a decade because the materials are so easy to acquire, unlike military-grade explosives, which are tightly controlled in much of the West,"" CNN National Security Analyst Peter Bergen said.

TATP-based bombs require technical know-how and bulk purchases of hydrogen peroxide or hair bleach. That helps authorities narrow down potential bomb-making suspects, because making the explosives can sometimes bleach hair. So authorities can identify bomb-makers in part by recognizing unusually bleached hair or asking sellers to report any suspiciously large purchases of hydrogen peroxide.

Questions to consider: Will the bomb-making materials lead investigators to any new suspects or help them dismantle a terror cell?",0
train-1192,"U.S. President Donald Trump will host Norway s Prime Minister Erna Solberg in Washington next month to discuss various security and economic issues, the White House said on Wednesday. The two leaders will meet on Jan. 10 at the White House to talk about a range of topics including NATO and the fight against Islamic State as well as bilateral trade and investment, the White House said in a statement. ",0
train-1193,"At least four defectors from North Korea have shown signs of radiation exposure, the South Korean government said on Wednesday, although researchers could not confirm if they were was related to Pyongyang s nuclear weapons program. The four are among 30 former residents of Kilju county, an area in North Korea that includes the nuclear test site Punggye-ri, who have been examined by the South Korean government since October, a month after the North conducted its sixth and most powerful nuclear test, Unification Ministry spokesman Baik Tae-hyun told a news briefing.  They were exposed to radiation between May 2009 and January 2013, and all defected to the South before the most recent test, a researcher at the Korea Atomic Energy Research Institute, which carried out the examinations, told reporters. North Korea has conducted six nuclear bomb tests since 2006, all in tunnels deep beneath the mountains of Punggye-ri, in defiance of U.N. Security Council resolutions and international condemnation. The researcher cautioned that there were a number of ways people may be exposed to radiation, and that none of the defectors who lived had lived in Punggye-ri itself showed specific symptoms. A series of small earthquakes in the wake of the last test - which the North claimed to be of a hydrogen bomb - prompted suspicions that it may have damaged the mountainous location in the northwest tip of the country. Experts warned that further tests in the area could risk radioactive pollution. After the Sept. 3 nuclear test, China s Nuclear Safety Administration said it had begun emergency monitoring for radiation along its border with North Korea. And in early December, a state-run newspaper in China s Jilin province, which borders North Korea and Russia, published a page of  common sense  advice on how readers can protect themselves from a nuclear weapons attack or explosion. Cartoon illustrations of ways to dispel radioactive contamination were also provided, such as using water to wash off shoes and using cotton buds to clean ears, as well as a picture of a vomiting child to show how medical help can be sought to speed the expulsion of radiation through stomach pumping and induced urination. ",0
train-1194,"If you fly a plane this statement is worth a look! The guy who tilled this message in his soil is a Wells County farmer with a message for
everyone! He says that on Dec. 6, 1946, corn was $1.47 per bushel. The day he tilled this in the soil, it was $1.45 per bushel! Go figure!

This field is located in NE 1/4 Sect. 9, 146:90 Speedwell Township, Wells County in North Dakota. The farmer did it with no GPS system or
anything! It almost looks like it is a retouched photo, but it is NOT!

It was taken yesterday, Sunday, April 10, 2005! He plans to seed the field to sunflowers in May, so the message’s days are numbered.",0
train-1195,"Jennifer Aniston has once again broken hearts by shooting down the possibility of a ""Friends"" reunion.

In an interview with ITV, the actress talked about looking back with fondness on working on the beloved, hit NBC series.

""Not only was it a gift for us, but it's something people have been able to carry with them,"" Aniston said. ""It's comfort food and it makes them feel better when they are feeling down, when they want to distract themselves.""

And to answer the question that always seems to come up -- will there be a reunion? -- Aniston said don't count on it.

""I don't know what we would do,"" she said. ""I think that period of time was sort of nostalgic, you know?"" ""There's something about a time where our faces weren't shoved into cell phones and we weren't, like, checking Facebooks and Instagrams, and we were in a room together -- or at a coffee shop together -- and we were talking,"" she added. ""And we've lost that."" But they can still ""be there for you"" in syndication, so hold tight to that. You can, however, see Aniston on the big screen when her latest film ""Office Christmas Party"" opens December 9.",0
